Titulo;Link;Precio Normal;Precio Online;Modelo;Marca;Tarjeta de Video;Procesador;Memoria Ram;Pulgadas Pantalla;Tipo de Almacenamiento;Almacenamiento;Tipo de Pantalla;Tipo de Memoria Ram;Tienda;Precio Normal_categ;Precio Online_categ;cluster_predicted
"Laptop Huawei Matebook 14 R7 14"" 8GB RAM 512GB SSD KelvinL-WDE9BQ";https://www.oechsle.pe/huawei-matebook-14-r7-14-8gb-ram-512gb-ssd-kelvinl-wde9bq-1980352/p;4999;3999;KelvinL-WDE9BQ;HUAWEI;AMD;AMD Ryzen 7;8GB;14'';SSD;512GB;IPS;;Oechsle;4200-5200;3800-4200;1
"Laptop Lenovo IdeaPad 5i 14"" Intel Core i7-1165G7 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-5i-14-intel-core-i7-1165g7-512gb-ssd-8gb-ram;3899;3899;82FE00RJLM;LENOVO;Intel Iris Xe Graphics;Intel Core i7;8GB;14'';SSD;512GB;FHD;DDR4;Hiraoka;3800-4200;3800-4200;1
Laptop ASUS FA506IC-HN042W 15.6'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD;https://www.plazavea.com.pe/laptop-asus-fa506ichn042w-15-6-amd-ryzen-5-5000-series-8gb-512gb-ssd/p;3899;3899;FA506IC-HN042W;ASUS;NVIDIA;AMD Ryzen 5;8GB;15.6'';SSD;512GB;FHD IPS;DDR4;Plazavea;3800-4200;3800-4200;1
"Laptop gamer Nitro 5 15.6"" Ryzen 5 5600H 8GB RAM 512GB SSD 4GB Video GTX 1650";https://www.oechsle.pe/laptop-gamer-nitro-5-15-6-ryzen-5-5600h-8gb-ram-512gb-ssd-4gb-video-gtx-1650-1981117/p;5159;3799;AN515-45-R6J3;ACER;AMD;AMD Ryzen 5;8GB;15.6'';SSD;512GB;LED IPS;DDR4;Oechsle;4200-5200;3400-3800;1
Laptop ASUS M3401QA-KM014W 14'' AMD Ryzen 7 (5000 series) 8GB 512GB SSD;https://www.oechsle.pe/laptop-asus-m3401qa-km014w-14---amd-ryzen-7--5000-series--8gb-512gb-ssd-1000208208/p;5499;3799;M3401QA-KM014W;ASUS;AMD;AMD Ryzen 7;8GB;14'';SSD;512GB;OLED;;Oechsle;5200-6200;3400-3800;1
"Laptop LG Gram 14Z90P-G.AJ62B4 14"" Intel i5 Evo 11a Generacion 256GB SSD 8GB RA";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lg-gram-14z90p-g-aj62b4-14-intel-i5-evo-11a-generacion-256gb-ssd-8gb-ram;4499;3499;Gram 14Z90P-G.AJ62B4;LG;Intel Iris Xe Graphics;Intel Core i5;8GB;14'';SSD;256GB;LED IPS;DDR4;Hiraoka;4200-5200;3400-3800;1
"Laptop Acer A515-56-76D1 15.6"" Intel Core i7-1165G7 512GB SSD 12GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-a515-56-76d1-15-6-intel-core-i7-1165g7-512gb-ssd-12gb-ram;3699;3399;82KT009NLM;ACER;Intel Iris Xe Graphics;AMD Ryzen 3;8GB;14'';SSD;512GB;FHD;DDR4;Hiraoka;3400-3800;3000-3400;1
"HP Laptop 15-ef2505la 15.6"" AMD Ryzen 7 5700U 8GB DDR4 RAM 512GB SSD";https://www.oechsle.pe/hp-laptop-15-ef2505la-15-6-amd-ryzen-7-5700u-8gb-ddr4-ram-512gb-ssd-oro-palido-2026535/p;3399;2999;15-ef2505la;HP;AMD;AMD Ryzen 7;8GB;15.6'';SSD;512GB;HD;DDR4;Oechsle;3000-3400;2600-3000;1
Laptop HP 17-ca AMD Ryzen 5 16GBRam 256GB SSD Windows 10;https://www.plazavea.com.pe/laptop-hp-17-ca-amd-ryzen-5-16gbram-256gb-ssd-windows-10-100198532/p;2989;2989;17-ca300;HP;AMD;AMD Ryzen 5;16GB;14'';SSD;256GB ;HD;;Plazavea;2600-3000;2600-3000;1
Laptop ASUS M415DA-EB900T 14'' AMD Ryzen 7 16GB 512GB SSD;https://www.oechsle.pe/laptop-asus-m415da-eb900t-14---amd-ryzen-7--5000-series--16gb-512gb-ssd-1000186896/p;3699;2899;M415DA-EB900T;ASUS;AMD;AMD Ryzen 7;16GB;14'';SSD;512GB;FHD;;Oechsle;3400-3800;2600-3000;1
Laptop ASUS UM325UA-KG101T 13.3'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD;https://www.oechsle.pe/laptop-asus-um325ua-kg101t-13-3---amd-ryzen-5--5000-series--8gb-512gb-ssd-1000186901/p;5399;2899;UM325UA-KG101T;ASUS;AMD;AMD Ryzen 5;8GB;13.3'';SSD;512GB;OLED;;Oechsle;5200-6200;2600-3000;1
Laptop ASUS M415DA-EB900T 14'' AMD Ryzen 7 16GB 512GB SSD;https://www.plazavea.com.pe/laptop-asus-m415daeb900t-14-amd-ryzen-7-16gb-512gb-ssd/p;2899;2899;M415DA-EB900T;ASUS;AMD;AMD Ryzen 7;16GB;14'';SSD;512GB;FHD;DDR4;Plazavea;2600-3000;2600-3000;1
"Laptop Huawei MateBook D14 14"" FHD IPS i5-10210U 512GB SSD 8GB RAM ";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-huawei-matebook-d14-nobelb-wah9e-14-intel-core-i5-10210u-512gb-ssd-8gb-ram;3699;2799; MateBook D14;HUAWEI;Intel UHD Graphics;Intel Core i5;8GB;14'';SSD;512GB;FHD;DDR4;Hiraoka;3400-3800;2600-3000;1
"Laptop Dell Vostro 3405 14"", Ryzen 5 3450U, 16GB RAM, 256GB SSD+HDD 1TB, Linux";https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-16gb-ram-256gb-ssd-hdd-1tb-linux-100154690/p;2749;2749;Vostro 3405;DELL;AMD;AMD Ryzen 5;16GB;14'';SSD/HDD;256GB;HD;DDR4;Plazavea;2600-3000;2600-3000;1
"Laptop Dell Vostro 14 3405 Gris, 14"" HD LED AMD Ryzen 5 3450U 2.1GH, 8GB, 256GB SSD, Win10 Model: YG";https://www.oechsle.pe/laptop-dell-vostro-14-3405-gris-14--hd-led-amd-ryzen-5-3450u-2-1gh-8gb-256gb-ssd-win10-model--yg-1000253291/p;3499;2699;YG53W;DELL;AMD;AMD Ryzen 5;8GB;14'';SSD;256GB;LED;;Oechsle;3400-3800;2600-3000;1
"Laptop Acer A515-54-56YQ 15.6"" Intel Core i5-10210U 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-a515-54-56yq-15-6-intel-core-i5-10210u-256gb-ssd-8gb-ram;2599;2399;SF314-511-579K;ACER;Intel Iris Xe Graphics;Intel Core i5;8GB;14'';SSD;512GB;FHD;DDR4;Hiraoka;2200-2600;2200-2600;1
Laptop ASUS M415DA-EB893T 14'' AMD Ryzen 5 8GB 256GB SSD;https://www.oechsle.pe/laptop-asus-m415da-eb893t-14---amd-ryzen-5--5000-series--8gb-256gb-ssd-1000186894/p;2599;1999;M415DA-EB893T;ASUS;AMD;AMD Ryzen 5;8GB;14'';SSD;256GB;FHD;;Oechsle;2200-2600;1800-2200;1
"Laptop Acer Aspire 3 14"" Ryzen 3 3250U 8GB RAM 256GB SSD";https://www.oechsle.pe/laptop-acer-aspire-3-14-ryzen-3-3250u-8gb-ram-256gb-ssd-1903749/p;2599;1999;A314-22-R6MD;ACER;AMD;AMD Ryzen 3;8GB;14'';SSD;256GB;LED IPS;DDR4;Oechsle;2200-2600;1800-2200;1
Laptop ASUS M415DA-EB893T 14'' AMD Ryzen 5 8GB 256GB SSD;https://www.plazavea.com.pe/laptop-asus-m415daeb893t-14-amd-ryzen-5-8gb-256gb-ssd/p;1999;1999;M415DA-EB893T;ASUS;AMD;AMD Ryzen 5;8GB;14'';SSD;256GB ;FHD;;Plazavea;1800-2200;1800-2200;1
"Laptop ASUS 14"" M415DA-EB931W Ryzen 5 8GB DDR4 RAM 256GB SSD Grey";https://www.oechsle.pe/laptop-asus-14-m415da-eb931w-ryzen-5-8gb-ddr4-ram-256gb-ssd-grey-2091552/p;3199;1799;M415DA-EB931W;ASUS;AMD;AMD Ryzen 5;8GB;14'';SSD;256GB;FHD;;Oechsle;3000-3400;1400-1800;1
"Laptop IdeaPad 3  14"" FHD AMD Ryzen 3  8GB RAM  256GB SSD";https://www.oechsle.pe/laptop-ideapad-3-14-fhd-amd-ryzen-3-8gb-ram-256gb-ssd-1877176/p;2848;1749;Laptop IdeaPad 3;LENOVO;AMD;AMD Ryzen 3;8GB;14'';SSD;256GB;FHD;;Oechsle;2600-3000;1400-1800;1
"Laptop ASUS 14"" X415JA-EB1707W Core i3 8GB 8GB DDR4 RAM 256GB SSD Silver";https://www.oechsle.pe/laptop-asus-14-x415ja-eb1707w-core-i3-8gb-8gb-ddr4-ram-256gb-ssd-silver-2091534/p;2999;1549;X415JA-EB1707W;ASUS;Intel;Intel Core i3;8GB;14'';SSD;256GB;FHD;;Oechsle;2600-3000;1400-1800;1
"Laptop Hp 14"" dk1022wm Amd Ryzen 3 4GB Ram 128GB Ssd Win10";https://www.oechsle.pe/laptop-hp-14--dk1022wm-amd-ryzen-3-4gb-ram-128gb-ssd-win10-1000165862/p;2999;1399;dk1022wm;HP;AMD;AMD Ryzen 3;4GB;14'';SSD;128GB;HD;;Oechsle;2600-3000;980-1400;1
"Laptop Lenovo IdeaPad 3i 14"" Intel Pentium Silver N5030 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-3i-14-intel-pentium-silver-n5030-256gb-ssd;1899;1299;IdeaPad 3i;LENOVO;Intel UHD Graphics;Intel Pentium;8GB;14'';SSD;256GB;FHD;DDR4;Hiraoka;1800-2200;980-1400;1
"Laptop Asus N7600PC-L2177W 16"" Intel Core i7-11370H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-n7600pc-l2177w-16-intel-core-i7-11370h-512gb-ssd-16gb-ram;7999;7199;LPM-BW15-i5;ASUS;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;4K;DDR4;Hiraoka;7200-8200;6200-7200;2
"Laptop Lenovo Yoga C640 13.3"" Intel Core i7 - 10510U 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-yoga-c640-13-3-intel-core-i7-10510u-512gb-ssd-8gb-ram;5199;5199;Yoga C640;LENOVO;Intel UHD Graphics;Intel Core i7;8GB;13.3'';SSD/M2;512GB;FHD;DDR4;Hiraoka;4200-5200;4200-5200;2
Laptop Gamer MSI Sword 15 A11UdIntel Core I7-11800H Ram 8GB 512GB SSD White Black;https://www.plazavea.com.pe/laptop-gamer-msi-sword-15-a11udintel-core-i7-11800h-ram-8gb-512gb-ssd-white-black-100180752/p;5099;5099;A11UD-001US;MSI;NVIDIA GeForce RTX 3050;Intel Core i7;8GB;15.6'';SSD;512GB;FHD;;Plazavea;4200-5200;4200-5200;2
"Laptop Asus Zenbook 14 UX435EG 14"" Intel Core i7-1165G7 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-ux435eg-k9185t-14-intel-core-i7-1165g7-512gb-ssd-16gb-ram;6259;4899;15-dy2050la;ASUS;NVIDIA GeForce MX330;Intel Core i3;8GB;15.6'';SSD;512GB;FHD IPS;DDR4;Hiraoka;6200-7200;4200-5200;2
Laptop ASUS G513IC-HN046W 15.6'' AMD Ryzen 7 (4000 series) 16GB 512GB SSD;https://www.plazavea.com.pe/laptop-asus-g513ichn046w-15-6-amd-ryzen-7-4000-series-16gb-512gb-ssd/p;4799;4799;G513IC-HN046W;ASUS;NVIDIA;AMD Ryzen 7;16GB;15.6'';SSD;512GB;FHD IPS;DDR4;Plazavea;4200-5200;4200-5200;2
"Laptop Dell Latitude 3410 Core i7-10510U, 8GB, 256GB SSD, 14"" FHD";https://www.oechsle.pe/laptop-dell-latitude-3410-core-i7-10510u-8gb-256gb-ssd-14--fhd-1000158836/p;4999;4599;DELL LATITUDE 3410;DELL;Intel;Intel Core i7;8GB;14'';SSD;256GB;FHD;;Oechsle;4200-5200;4200-5200;2
"Laptop MSI Bravo 15 B5DD-003SP 15.6"" AMD Ryzen 5 5600H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-msi-bravo-15-b5dd-003sp-15-6-amd-ryzen-5-5600h-512gb-ssd-8gb-ram;5499;4599;Bravo 15 B5DD-003SP;MSI;AMD Radeon RX 5500M;AMD Ryzen 5;8GB;15.6'';SSD;512GB;LCD IPS;DDR4;Hiraoka;5200-6200;4200-5200;2
"Laptop Dell Latitude 3410 Core i7-10510U, 8GB, 256GB SSD, 14"" FHD";https://www.plazavea.com.pe/laptop-dell-latitude-3410-core-i7-10510u-8gb-256gb-ssd-14-fhd-100152054/p;4599;4599;Latitude 3410;DELL;Intel;Intel Core i7;8GB;14'';SSD;256GB;FHD;DDR4;Plazavea;4200-5200;4200-5200;2
"Laptop Gaming GF63 Thin 10SC 15.6"" i5-10500H 8GB RAM 512GB SSD 4GB 1650 Video";https://www.oechsle.pe/laptop-gaming-gf63-thin-10sc-15-6-i5-10500h-8gb-ram-512gb-ssd-4gb-1650-video-1957962/p;4699;4499;GF63 Thin 10SC;MSI;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;;Oechsle;4200-5200;4200-5200;2
"Laptop LG Gram 15Z90P-G.AH66B4 15.6"" Intel Core i5 -1135G7 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lg-gram-15z90p-g-ah66b4-15-6-intel-core-i5-1135g7-512gb-ssd-16gb-ram;5199;4499;Gram 15Z90P-G.AH66B4;LG;Intel Iris Xe Graphics;Intel Core i5;16GB;15.6'';SSD;512GB;LED IPS;DDR4;Hiraoka;4200-5200;4200-5200;2
Laptop Lenovo 15ITL Intel I7 8GB Ram 512GB SSD X360Touch Win10;https://www.plazavea.com.pe/laptop-lenovo-15itl-intel-i7-8gb-ram-512gb-ssd-x360touch-win10-100167599/p;4469;4469;15ITL5;LENOVO;Intel;Intel Core i7;8GB;15.6'';SSD;512GB ;FHD;;Plazavea;4200-5200;4200-5200;2
"Laptop Gaming Katana GF66 11SC 15.6"" 144hz I5-11400H 8GB RAM 512 4GB 1650 Video";https://www.oechsle.pe/laptop-gaming-katana-gf66-11sc-15-6-144hz-i5-11400h-16gb-ram-512-4gb-1650-video-1957958/p;5199;4399;Katana GF66 11SC;MSI;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;IPS;;Oechsle;4200-5200;4200-5200;2
"Laptop Gamer MSI Katana GF66-11SC-071SP 15.6"" Intel Core i5-11400H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-msi-katana-gf66-11sc-071sp-15-6-intel-core-i5-11400h-512gb-ssd-8gb-ram;5199;4399;MSI Katana GF66-11SC-071SP;MSI;NVIDIA GeForce GTX 1650;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;4200-5200;4200-5200;2
Laptop ASUS K513EA-BQ2210W 15.6'' Intel Core i7 11va generacion 12GB 512GB SS;https://www.oechsle.pe/laptop-asus-k513ea-bq2210w-15-6---intel-core-i7-11va-generacion-12gb-512gb-ssd-1000208213/p;4899;4299;K513EA-BQ2210W;ASUS;Intel;Intel Core i7;12GB;15.6'';SSD;512GB;IPS;;Oechsle;4200-5200;4200-5200;2
Notebook ACER AN515-54-56TP 15.6'' Intel Core i5 9300H 8GB  512GB;https://www.plazavea.com.pe/notebook-acer-an5155456tp-15-6-intel-core-i5-9300h-8gb512gb/p;4299;4299;AN515-54-56TP;ACER;NVIDIA GeForce GTX 1660;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;;Plazavea;4200-5200;4200-5200;2
Notebook LENOVO LEN LEGION5 15IMH05 15.6'' Intel Core i5 1TB;https://www.plazavea.com.pe/notebook-lenovo-len-legion5-15imh05-15-6-intel-core-i5-1tb/p;4299;4299;LEN LEGION5 15IMH05;LENOVO;NVIDIA GeForce GTX 1650;Intel Core i5;1TB;15.6'';HDD;1TB;FHD;;Plazavea;4200-5200;4200-5200;2
"Laptop Acer Aspire 3 15.6"" Intel Core i7 8GB RAM 512GB SSD 2GB Video";https://www.oechsle.pe/laptop-acer-aspire-3-15-6-intel-core-i7-8gb-ram-512gb-ssd-2gb-video-1877487/p;4399;4199;A315-57G-79PE;ACER;Intel;Intel Core i7;8GB;15.6'';SSD;512GB;LED IPS;DDR4;Oechsle;4200-5200;3800-4200;2
Laptop ASUS X515 15.6'' CI7-1165G7 8GB RAM 512GB SSD;https://www.oechsle.pe/laptop-asus-15-15-6-x515ea-ci7-1165g7-8gb-ram-512gb-ssd-1945850/p;4399;4099;X515EA-BQ1096T;ASUS;Intel;Intel Core i7;8GB;15.6'';SSD;512GB;LED IPS;;Oechsle;4200-5200;3800-4200;2
"Laptop Asus VivoBook 14"" Full HD , Core I5-1135G7, 8GB, 512GB SSD, Windows 10 Home - S433EA-AM028T";https://www.oechsle.pe/notebook-asus-vivobook-14--ips-fhd-core-i5-1135g7-512gb-ssd-w10-home-1000100029/p;4999;3999;S433EA-AM028T;ASUS;Intel;Intel Core i5;8GB;14'';SSD;512GB;FHD;;Oechsle;4200-5200;3800-4200;2
"Laptop Gamer Nitro 5 15.6"" Core I5 10300H 8GB RAM 256GB SSD 4GB Video RTX3050";https://www.oechsle.pe/laptop-gamer-nitro-5-15-6-core-i5-10300h-8gb-ram-256gb-ssd-4gb-video-rtx3050-1877483/p;5099;3999;AN515-55-51G3;ACER;Intel;Intel Core i5;8GB;15.6'';SSD;256GB;FHD IPS;DDR4;Oechsle;4200-5200;3800-4200;2
"Laptop Gamer Acer AN515-55-57JM 15.6"" Intel Core i5-10300H 256GB SSD + 1TB HDD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-an515-55-57jm-15-6-intel-core-i5-10300h-256gb-ssd-1tb-hdd-8gb-ram;4399;3899;Acer AN515-55-57JM;ACER;NVIDIA GeForce RTX 3050;Intel Core i5;8GB;15.6'';SSD/HDD;1TB;FHD;DDR4;Hiraoka;4200-5200;3800-4200;2
"Laptop Asus Vivobook Pro 14 OLED M3401QA 14"" AMD Ryzen 7 5800H 512GB SSD 8GB RAM + Tablet Wacom Intuos CTL-4100 7""";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-vivobook-pro-14-oled-m3401qa-14-amd-ryzen-7-5800h-512gb-ssd-8gb-ram-tablet-wacom-intuos-ctl-4100-7;4899;3899;Vivobook Pro 14 OLED M3401QA;ASUS;AMD Radeon Graphics;AMD Ryzen 7;8GB;15.6'';SSD;512GB;UHD;LPDDR4;Hiraoka;4200-5200;3800-4200;2
"Laptop Gaming Dell G5510 15.6"" Intel Core i5 10200H 8GB RAM 256GB SSD";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gaming-dell-g5510-15-6-intel-core-i5-10200h-8gb-ram-256gb-ssd;4899;3899;Dell G5510;DELL;NVIDIA GeForce GTX 1650;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;4200-5200;3800-4200;2
"Laptop MSI Modern 15 A11ML 15.6"" Intel Core i5-1135G7 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-msi-modern-15-a11ml-15-6-intel-core-i5-1135g7-512gb-ssd-8gb-ram;4599;3799;Modern 15 A11ML ;MSI;Intel Iris Xe Graphics;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;4200-5200;3400-3800;2
Laptop Gaming 15.6GF63 THIN10UC/I5-10500H/512/8G/4GB3050;https://www.oechsle.pe/laptop-gaming-15-6gf63-thin10uc-i5-10500h-512-8g-4gb3050/p;4599;3699;GF63 Thin 10UC;MSI;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;IPS;DDR4 ;Oechsle;4200-5200;3400-3800;2
"Laptop Huawei Matebook 14 i5 14"" 8GB RAM 512GB SSD KelvinD-WDH9A";https://www.oechsle.pe/huawei-matebook-14-i5-14-8gb-ram-512gb-ssd-kelvind-wdh9a-1980353/p;4999;3699;KelvinD-WDH9A;HUAWEI;Intel;Intel Core i5;8GB;14'';SSD;512GB;IPS;;Oechsle;4200-5200;3400-3800;2
Laptop ACER AN515-55-595Q 15.6'' Intel Core i5 10ma generacion 8GB 512GB SS;https://www.oechsle.pe/laptop-acer-an515-55-595q-15-6---intel-core-i5-10ma-generacion-8gb-512gb-ssd-1000243239/p;3899;3599;AN515-55-595Q;ACER;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;;Oechsle;3800-4200;3400-3800;2
Laptop ASUS FX506LH-HN004W 15.6'' Intel Core i5 10ma generacion 8GB 512GB SS;https://www.oechsle.pe/laptop-asus-fx506lh-hn004w-15-6---intel-core-i5-11va-generacion-8gb-512gb-ssd-1000194807/p;4199;3599;FX506LH-HN004W;ASUS;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;IPS;;Oechsle;3800-4200;3400-3800;2
"Laptop Acer Swift 3 14"" Core i5 1135G7 8GB RAM 512GB SSD";https://www.oechsle.pe/laptop-acer-swift-3-14-core-i5-1135g7-8gb-ram-512gb-ssd-1877488/p;4499;3599;SF314-511-579K;ACER;Intel;Intel Core i5;8GB;14'';SSD;512GB;LED IPS;DDR4;Oechsle;4200-5200;3400-3800;2
"Laptop ASUS 15.6"" FX506LH-HN004W Core i5 8GB DDR4 RAM 512GB SSD Black";https://www.oechsle.pe/laptop-asus-15-6-fx506lh-hn004w-core-i5-8gb-ddr4-ram-512gb-ssd-black-2091553/p;4799;3599;FX506LH-HN004W;ASUS;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;;Oechsle;4200-5200;3400-3800;2
Laptop ASUS FX506LH-HN004W 15.6'' Intel Core i5 10ma generacion 8GB 512GB SSD;https://www.plazavea.com.pe/laptop-asus-fx506lhhn004w-15-6-intel-core-i5-10ma-generacion-8gb-512gb-ssd/p;3599;3599;FX506LH-HN004W;ASUS;NVIDIA;Intel Core i5;8GB;15.6'';SSD;512GB;FHD IPS;DDR4;Plazavea;3400-3800;3400-3800;2
"Laptop HP Pavilion x360 14-dy0506la 14"" Intel Core i5-1135G7 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-pavilion-x360-14-dy0506la-14-intel-core-i5-1135g7-256gb-ssd-8gb-ram;3499;3499;Pavilion x360 14-dy0506la;HP;Intel Iris Xe Graphics;Intel Core i5;8GB;15.6'';SSD;256GB;FHD;DDR4;Hiraoka;3400-3800;3400-3800;2
Laptop Lenovo S340- Intel I7 8GB Ram 256GB SSD;https://www.plazavea.com.pe/laptop-lenovo-s340-intel-i7-8gb-ram-256gb-ssd-100167597/p;4540;3499;S340-15IIL;LENOVO;Intel;Intel Core i7;8GB;15.6'';SSD;256GB;FHD;;Plazavea;4200-5200;3400-3800;2
Laptop ASUS K513EA-L12004W 15.6'' Intel Core i5 11va generacion 8GB 512GB SS;https://www.oechsle.pe/laptop-asus-k513ea-l12004w-15-6---intel-core-i5-11va-generacion-8gb-512gb-ssd-1000194809/p;3799;3399;K513EA-L12004W;ASUS;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;OLED;;Oechsle;3400-3800;3000-3400;2
Laptop ASUS Zenbook 13 OLED UX325EA 13.3'' Ci5-1135G7 8GB RAM 512SSD;https://www.oechsle.pe/laptop-asus-zenbook-13-oled-ux325ea-13-3---ci5-1135g7-8gb-ram-512ssd/p;4599;3399;UX325EA-KG523W;ASUS;Intel;Intel Core i5;8GB;13.3'';SSD;512GB;OLED;;Oechsle;4200-5200;3000-3400;2
Laptop ASUS Zenbook 13 OLED UX325EA 13.3'' Intel Core i5-1135G7 8GB RAM 512SSD;https://www.oechsle.pe/laptop-asus-zenbook-13-oled-ux325ea-13-3---intel-core-i5-1135g7-8gb-ram-512ssd/p;4999;3399;UX325EA-KG645W;ASUS;Intel;Intel Core i5;8GB;13.3'';SSD;512GB;OLED;;Oechsle;4200-5200;3000-3400;2
Laptop ASUS K513EA-L12004W 15.6'' Intel Core i5 11va generacion 8GB 512GB SSD;https://www.plazavea.com.pe/laptop-asus-k513eal12004w-15-6-intel-core-i5-11va-generacion-8gb-512gb-ssd/p;3399;3399;K513EA-L12004W;ASUS;Intel;Intel Core i5;8GB;16.1'';SSD;512GB ;OLED;DDR4;Plazavea;3000-3400;3000-3400;2
"Laptop Lenovo V15 IIL 15.6"" Core i5 1 TB HDD 8 GB RAM Video NVIDIA";https://www.plazavea.com.pe/laptop-lenovo-v15-iil-15-6-core-i5-1-tb-hdd-8-gb-ram-video-nvidia-100202909/p;3359;3359;V15 IIL;LENOVO;NVIDIA;Intel Core i5;8GB;15.6'';HDD;1TB;LCD;;Plazavea;3000-3400;3000-3400;2
"Laptop Dell Inspiron 3511 DNH4W 15.6"" Intel Core i5-1135G7 1TB HDD + 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-dell-inspiron-3511-dnh4w-15-6-intel-core-i5-1135g7-1tb-hdd-256gb-ssd-8gb-ram;3499;3349;J5TDJ;DELL;NVIDIA GeForce MX350;Intel Core i5;8GB;15.6'';SSD;256GB;FHD;DDR4;Hiraoka;3400-3800;3000-3400;2
"Laptop HP EliteBook 840 G7 I5-1021U, 8GB, SSD 256GB, 14"", W10PRO, 1Y (36A27LC)";https://www.oechsle.pe/laptop-hp-elitebook-840-g7-i5-1021u-8gb-ssd-256gb-14--w10pro-1y--36a27lc--1000267385/p;3999;3299;840 G7;HP;Intel;Intel Core i5;8GB;14'';SSD;256GB;FHD;;Oechsle;3800-4200;3000-3400;2
Laptop ASUS UX325EA-KG645W 13'' Intel Core i5 11va generacion 8GB 512GB SS;https://www.oechsle.pe/laptop-asus-ux325ea-kg645w-13---intel-core-i3-9na-generacion-8gb-512gb-ssd-1000186898/p;4399;3299;UX325EA-KG645W;ASUS;Intel;Intel Core i5;8GB;13'';SSD;512GB;OLED;;Oechsle;4200-5200;3000-3400;2
Laptop ASUS UX325EA-KG645W 13'' Intel Core i5 11va generacion 8GB 512GB SSD;https://www.plazavea.com.pe/laptop-asus-ux325eakg645w-13-intel-core-i5-11va-generacion-8gb-512gb-ssd/p;3299;3299;UX325EA-KG645W;ASUS;Intel;Intel Core i5;8GB;13'';SSD;512GB;FHD IPS;DDR4;Plazavea;3000-3400;3000-3400;2
"Laptop Lenovo V14 IIL 14"" Core i5 256 SSD 8 GB RAM";https://www.plazavea.com.pe/laptop-lenovo-v14-iil-14-core-i5-256-ssd-8-gb-ram-100202908/p;3179;3179;V14 IIL;LENOVO;Intel;Intel Core i5;8GB;14'';SSD;256GB ;LCD;;Plazavea;3000-3400;3000-3400;2
"Laptop HP 15-dy2056la 15.6"" Intel Core i5-1135G7 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-dy2056la-15-6-intel-core-i5-1135g7-512gb-ssd-8gb-ram;2999;2999;HP 15-dy2056la;HP;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;HD;DDR4;Hiraoka;2600-3000;2600-3000;2
